video_id,path,label,method,source_id,n_frames,fps,duration_sec,width,height
Face2Face_007_132,dataset/fake/Face2Face/007_132.mp4,fake,Face2Face,007,413,25.0,16.52,576,480
Face2Face_008_990,dataset/fake/Face2Face/008_990.mp4,fake,Face2Face,008,305,25.0,12.2,640,480
Face2Face_009_027,dataset/fake/Face2Face/009_027.mp4,fake,Face2Face,009,315,30.0,10.5,640,480
FaceSwap_010_005,dataset/fake/FaceSwap/010_005.mp4,fake,FaceSwap,010,385,25.0,15.4,640,480
FaceSwap_011_805,dataset/fake/FaceSwap/011_805.mp4,fake,FaceSwap,011,411,24.0,17.125,1280,720
FaceSwap_012_026,dataset/fake/FaceSwap/012_026.mp4,fake,FaceSwap,012,322,25.0,12.88,640,480
FaceSwap_013_883,dataset/fake/FaceSwap/013_883.mp4,fake,FaceSwap,013,332,25.0,13.28,640,480
FaceSwap_014_790,dataset/fake/FaceSwap/014_790.mp4,fake,FaceSwap,014,676,30.0,22.533333333333335,640,480
FaceSwap_015_919,dataset/fake/FaceSwap/015_919.mp4,fake,FaceSwap,015,437,30.0,14.566666666666666,640,480
FaceSwap_016_209,dataset/fake/FaceSwap/016_209.mp4,fake,FaceSwap,016,337,30.0,11.233333333333333,640,480
FaceSwap_017_803,dataset/fake/FaceSwap/017_803.mp4,fake,FaceSwap,017,297,25.0,11.88,1280,720
FaceSwap_018_019,dataset/fake/FaceSwap/018_019.mp4,fake,FaceSwap,018,432,30.0,14.4,640,480
FaceSwap_019_018,dataset/fake/FaceSwap/019_018.mp4,fake,FaceSwap,019,432,30.0,14.4,640,480
NeuralTextures_010_005,dataset/fake/NeuralTextures/010_005.mp4,fake,NeuralTextures,010,385,25.0,15.4,640,480
NeuralTextures_011_805,dataset/fake/NeuralTextures/011_805.mp4,fake,NeuralTextures,011,411,24.0,17.125,1280,720
NeuralTextures_012_026,dataset/fake/NeuralTextures/012_026.mp4,fake,NeuralTextures,012,322,25.0,12.88,640,480
NeuralTextures_013_883,dataset/fake/NeuralTextures/013_883.mp4,fake,NeuralTextures,013,332,25.0,13.28,640,480
NeuralTextures_014_790,dataset/fake/NeuralTextures/014_790.mp4,fake,NeuralTextures,014,676,30.0,22.533333333333335,640,480
NeuralTextures_015_919,dataset/fake/NeuralTextures/015_919.mp4,fake,NeuralTextures,015,437,30.0,14.566666666666666,640,480
NeuralTextures_016_209,dataset/fake/NeuralTextures/016_209.mp4,fake,NeuralTextures,016,337,30.0,11.233333333333333,640,480
NeuralTextures_017_803,dataset/fake/NeuralTextures/017_803.mp4,fake,NeuralTextures,017,297,25.0,11.88,1280,720
NeuralTextures_018_019,dataset/fake/NeuralTextures/018_019.mp4,fake,NeuralTextures,018,432,30.0,14.4,640,480
NeuralTextures_019_018,dataset/fake/NeuralTextures/019_018.mp4,fake,NeuralTextures,019,432,30.0,14.4,640,480
real_000,dataset/real/000.mp4,real,original,000,396,25.0,15.84,640,480
real_001,dataset/real/001.mp4,real,original,001,460,25.0,18.4,1280,720
real_002,dataset/real/002.mp4,real,original,002,693,30.0,23.1,1280,720
real_003,dataset/real/003.mp4,real,original,003,303,25.0,12.12,640,480
real_004,dataset/real/004.mp4,real,original,004,309,25.0,12.36,1280,720
real_005,dataset/real/005.mp4,real,original,005,385,25.0,15.4,720,480
real_006,dataset/real/006.mp4,real,original,006,310,30.0,10.333333333333334,1280,720
real_007,dataset/real/007.mp4,real,original,007,505,25.0,20.2,600,480
real_008,dataset/real/008.mp4,real,original,008,637,25.0,25.48,640,480
real_009,dataset/real/009.mp4,real,original,009,588,30.0,19.6,640,480
real_010,dataset/real/010.mp4,real,original,010,474,25.0,18.96,640,480
real_011,dataset/real/011.mp4,real,original,011,632,24.0,26.333333333333332,1280,720
real_012,dataset/real/012.mp4,real,original,012,363,25.0,14.52,640,480
real_013,dataset/real/013.mp4,real,original,013,332,25.0,13.28,640,480
real_014,dataset/real/014.mp4,real,original,014,676,30.0,22.533333333333335,640,480
real_015,dataset/real/015.mp4,real,original,015,437,30.0,14.566666666666666,640,480
real_016,dataset/real/016.mp4,real,original,016,678,30.0,22.6,640,480
real_017,dataset/real/017.mp4,real,original,017,398,30.0,13.266666666666667,1280,720
real_018,dataset/real/018.mp4,real,original,018,432,30.0,14.4,640,480
real_019,dataset/real/019.mp4,real,original,019,1385,30.0,46.166666666666664,640,480
